"Series Key",ELEC.SALES.MD-RES.M,"Series Key",ELEC.SALES.MD-COM.M,"Series Key",ELEC.SALES.MD-IND.M
"Series Name","Retail sales of electricity : Maryland : residential : monthly","Series Name","Retail sales of electricity : Maryland : commercial : monthly","Series Name","Retail sales of electricity : Maryland : industrial : monthly"
Units,"million kilowatthours",Units,"million kilowatthours",Units,"million kilowatthours"
Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202102,"End Date",202102,"End Date",202102
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202102,2721.52738,202102,2127.27306,202102,262.90072
202101,2941.58417,202101,2291.48048,202101,263.96443
202012,2722.27,202012,2251.55601,202012,269.38489
202011,1869.91578,202011,1996.59062,202011,259.75305
202010,1633.67112,202010,2065.48719,202010,257.77071
202009,2073.90115,202009,2224.68688,202009,262.47633
202008,2886.48373,202008,2543.98446,202008,299.96695
202007,3255.40674,202007,2729.0702,202007,309.85538
202006,2357.91899,202006,2241.24908,202006,288.8881
202005,1877.44057,202005,1992.36583,202005,272.60133
202004,1806.55357,202004,1866.52734,202004,269.47944
202003,1962.53192,202003,2054.37438,202003,272.29014
202002,2282.72165,202002,2149.2452,202002,268.23129
202001,2560.86254,202001,2344.61271,202001,272.89757
201912,2558.94249,201912,2347.66354,201912,294.41038
201911,2040.20487,201911,2225.86682,201911,299.49893
201910,1627.82194,201910,2246.72166,201910,287.73112
201909,2152.29466,201909,2487.99455,201909,307.60817
201908,2697.56993,201908,2739.98985,201908,326.68497
201907,3007.07602,201907,2883.72118,201907,338.45591
201906,2231.66816,201906,2455.62323,201906,310.83398
201905,1829.47845,201905,2416.53854,201905,333.14472
201904,1580.73797,201904,2121.6356,201904,312.66696
201903,2362.90273,201903,2307.88286,201903,316.03441
201902,2472.61004,201902,2186.84539,201902,288.1384
201901,2972.38574,201901,2472.85181,201901,303.20405
201812,2562.68834,201812,2366.25503,201812,321.40331
201811,2105.53675,201811,2280.80098,201811,324.56788
201810,1808.39662,201810,2408.26771,201810,326.06708
201809,2248.97276,201809,2519.80985,201809,350.18756
201808,2744.2119,201808,2891.00103,201808,344.70004
201807,2773.05814,201807,2777.47246,201807,365.80661
201806,2196.10112,201806,2529.01671,201806,319.29694
201805,1865.4326,201805,2430.66636,201805,346.12736
201804,1869.97772,201804,2118.69512,201804,304.53329
201803,2443.16866,201803,2434.27617,201803,310.5363
201802,2288.11131,201802,2149.54475,201802,257.74228
201801,3232.81809,201801,2641.71182,201801,299.21935
201712,2680.84917,201712,2444.09913,201712,316.21014
201711,1933.17224,201711,2205.53774,201711,315.58848
201710,1665.81981,201710,2334.7024,201710,306.54284
201709,1950.98712,201709,2437.52988,201709,305.96838
201708,2408.41927,201708,2681.6959,201708,340.53953
201707,2858.082,201707,2849.65925,201707,365.0074
201706,2288.49337,201706,2616.43877,201706,320.85742
201705,1695.59578,201705,2309.09566,201705,319.3211
201704,1669.88599,201704,2102.76896,201704,329.049
201703,2234.32374,201703,2337.16862,201703,304.95171
201702,2093.85627,201702,2165.37002,201702,271.91971
201701,2604.69127,201701,2408.97966,201701,301.8663
201612,2534.44126,201612,2431.02603,201612,312.2521
201611,1786.78397,201611,2241.00636,201611,322.28348
201610,1595.28689,201610,2373.55666,201610,308.12765
201609,2275.48524,201609,2582.70293,201609,310.17549
201608,2956.83218,201608,3002.48125,201608,377.36038
201607,3013.9552,201607,2838.02355,201607,341.84929
201606,2191.50984,201606,2585.28596,201606,322.08644
201605,1675.56988,201605,2355.60318,201605,325.99087
201604,1711.16146,201604,2103.04897,201604,301.8764
201603,2113.43387,201603,2360.16714,201603,277.92582
201602,2548.56934,201602,2372.87642,201602,317.8531
201601,2913.84188,201601,2430.21455,201601,303.69498
201512,2032.39706,201512,2296.19377,201512,317.49317
201511,1686.53064,201511,2464.22229,201511,331.76529
201510,1551.80517,201510,2421.03123,201510,305.58662
201509,2047.69642,201509,2459.81431,201509,382.33784
201508,2604.86315,201508,2760.428,201508,330.98121
201507,2748.31326,201507,2837.15743,201507,343.37277
201506,2124.68506,201506,2665.8589,201506,324.08982
201505,1922.51773,201505,2542.33073,201505,342.70348
201504,1746.07056,201504,2142.4628,201504,318.8314
201503,2550.07585,201503,2435.12702,201503,288.58974
201502,3075.8908,201502,2501.13374,201502,304.04519
201501,3312.49031,201501,2433.3548,201501,293.51848
201412,2448.15722,201412,2465.94139,201412,320.12668
201411,2081.94814,201411,2327.51123,201411,316.63138
201410,1663.47638,201410,2289.27088,201410,310.71507
201409,2017.02344,201409,2439.09708,201409,319.7765
201408,2358.23611,201408,2660.30788,201408,346.24911
201407,2552.44193,201407,2860.46493,201407,345.97918
201406,2189.60271,201406,2733.92325,201406,363.07634
201405,1766.78596,201405,2446.39519,201405,349.27724
201404,1814.11781,201404,2252.09196,201404,301.0514
201403,2557.21655,201403,2461.20902,201403,310.63357
201402,2760.79159,201402,2221.52966,201402,261.72152
201401,3277.83518,201401,2646.59953,201401,302.71602
201312,2674.88865,201312,2518.78313,201312,334.42674
201311,2085.28674,201311,2245.63057,201311,311.05801
201310,1812.81232,201310,2301.74693,201310,331.72469
201309,2055.90467,201309,2420.56345,201309,302.94568
201308,2508.45869,201308,2721.89101,201308,334.49722
201307,2855.72666,201307,3005.1255,201307,350.79376
201306,2193.34508,201306,2770.33471,201306,364.5283
201305,1821.23872,201305,2449.20684,201305,366.6657
201304,1794.49189,201304,2188.2586,201304,294.26391
201303,2376.53161,201303,2416.08623,201303,331.48281
201302,2485.06003,201302,2350.95843,201302,288.46601
201301,2784.62194,201301,2577.6136,201301,333.08918
201212,2376.67341,201212,2367.19173,201212,345.30659
201211,2092.70651,201211,2280.05048,201211,257.31573
201210,1726.55172,201210,2344.74746,201210,340.50975
201209,2126.33764,201209,2524.56136,201209,352.22856
201208,2803.38284,201208,2903.65134,201208,336.43281
201207,3062.50637,201207,3028.19084,201207,383.1437
201206,2201.60025,201206,2715.41617,201206,456.8387
201205,1767.31623,201205,2579.00351,201205,365.31609
201204,1642.55109,201204,2238.24315,201204,444.62549
201203,1939.98592,201203,2315.811,201203,408.74054
201202,2294.16028,201202,2311.13825,201202,412.5185
201201,2644.38575,201201,2499.52071,201201,396.85053
201112,2232.80604,201112,2465.72804,201112,400.84041
201111,1739.58039,201111,2318.29369,201111,460.01548
201110,1729.72115,201110,2351.45466,201110,400.64152
201109,2113.84478,201109,2581.13067,201109,453.14912
201108,2739.90865,201108,2867.74777,201108,448.6126
201107,3094.41718,201107,3068.97411,201107,448.78122
201106,2354.99582,201106,2836.83975,201106,451.28436
201105,1726.79199,201105,2585.57458,201105,427.22562
201104,1772.28621,201104,2299.73509,201104,400.13153
201103,2201.33586,201103,2405.6817,201103,363.17039
201102,2460.83881,201102,2313.40043,201102,340.69418
201101,3129.14812,201101,2655.04452,201101,412.83957
201012,2832.93804,201012,2631.0311,201012,407.71224
201011,1865.56748,201011,2284.176,201011,372.04578
201010,1763.5084,201010,2351.60508,201010,384.83624
201009,2255.43899,201009,2630.42219,201009,410.07613
201008,2887.68387,201008,2965.58559,201008,452.98854
201007,3167.47715,201007,2997.00397,201007,467.71398
201006,2503.50229,201006,2908.32335,201006,467.43537
201005,1879.05917,201005,2500.75309,201005,459.42306
201004,1768.09455,201004,2226.91615,201004,416.34161
201003,2243.44446,201003,2340.486,201003,423.92061
201002,2705.86038,201002,2347.25462,201002,390.81405
201001,3061.49923,201001,2587.75987,201001,429.8074
200912,2604.33616,200912,2565.77743,200912,427.63843
200911,1827.75872,200911,2240.62027,200911,434.82746
200910,1816.44288,200910,2287.16485,200910,453.07496
200909,2017.70259,200909,2410.795,200909,426.16977
200908,2753.21665,200908,2910.10423,200908,468.77913
200907,2466.3255,200907,2808.56288,200907,454.35003
200906,2051.56062,200906,2637.42035,200906,440.68193
200905,1711.72233,200905,2418.85466,200905,484.20138
200904,1840.49897,200904,2261.23305,200904,445.21939
200903,2306.08865,200903,2371.66301,200903,453.32261
200902,2512.27409,200902,2248.13905,200902,392.77228
200901,3036.63885,200901,2645.66623,200901,404.79563
200812,2539.70999,200812,2543.50953,200812,413.93511
200811,2021.14475,200811,2338.13158,200811,421.31903
200810,1783.69411,200810,2374.79347,200810,475.5131
200809,2105.33766,200809,2612.14548,200809,463.71219
200808,2510.14374,200808,2734.05351,200808,497.62084
200807,2749.91668,200807,2973.25434,200807,524.92451
200806,2281.07524,200806,2826.13601,200806,505.31888
200805,1641.51001,200805,2360.51479,200805,515.50874
200804,1782.62904,200804,2170.91215,200804,454.21397
200803,2332.49468,200803,2276.39605,200803,470.56669
200802,2645.21673,200802,2296.89629,200802,453.47735
200801,2751.38239,200801,2496.2498,200801,453.83259
200712,2547.52026,200712,2544.51989,200712,509.27332
200711,1868.7196,200711,2389.91054,200711,512.8364
200710,1853.73107,200710,2601.81497,200710,514.09383
200709,2277.94516,200709,2641.8688,200709,494.97743
200708,2895.31779,200708,2950.56166,200708,547.77055
200707,2749.80838,200707,2822.84223,200707,522.52282
200706,2294.24527,200706,2732.01174,200706,509.0763
200705,1805.56307,200705,2532.30341,200705,500.89446
200704,1943.69226,200704,2287.88899,200704,477.0375
200703,2389.15753,200703,2334.04664,200703,472.92256
200702,2947.5528,200702,2383.0535,200702,455.29374
200701,2621.54883,200701,2470.33663,200701,463.6591
200612,2418.99838,200612,2395.05734,200612,493.56107
200611,1918.90009,200611,2310.51819,200611,499.71986
200610,1792.74443,200610,2440.68202,200610,495.99308
200609,1980.99269,200609,2395.77511,200609,511.5331
200608,2927.52285,200608,3059.26446,200608,457.63851
200607,2903.02616,200607,2982.47884,200607,464.42034
200606,2181.70504,200606,2694.32341,200606,563.58354
200605,1697.24991,200605,2430.18825,200605,552.02799
200604,1737.7391,200604,2160.42418,200604,501.68414
200603,2353.28439,200603,2323.30629,200603,500.79672
200602,2453.86352,200602,2263.88013,200602,520.05787
200601,2539.35944,200601,2273.13178,200601,496.01378
200512,2739.40656,200512,1522.81398,200512,1752.35655
200511,1970.82719,200511,1292.91434,200511,1714.70058
200510,1844.6757,200510,1417.63441,200510,1696.334
200509,2427.63402,200509,1593.18231,200509,1764.22724
200508,3002.58886,200508,1843.75203,200508,1945.06157
200507,2913.33226,200507,1834.17308,200507,1996.27969
200506,2402.26016,200506,1622.95493,200506,1884.10277
200505,1673.04778,200505,1355.36452,200505,1741.77486
200504,1731.21075,200504,1264.20993,200504,1697.51251
200503,2438.97155,200503,1423.9052,200503,1787.62386
200502,2463.76884,200502,1302.35971,200502,1646.14979
200501,2831.92133,200501,1458.50654,200501,1890.51458
200412,2575.49487,200412,1409.27512,200412,1667.59574
200411,1876.61962,200411,1342.74488,200411,1491.87598
200410,1881.29959,200410,1400.18866,200410,1584.18153
200409,2227.46972,200409,1393.01348,200409,1832.49825
200408,2599.34654,200408,1515.89148,200408,1969.44607
200407,2506.79269,200407,1525.95795,200407,2020.34481
200406,2275.27132,200406,1560.23948,200406,1691.69467
200405,1943.15944,200405,1546.0513,200405,1606.42135
200404,2033.58998,200404,1428.25597,200404,1776.79739
200403,2280.65025,200403,1367.14146,200403,1829.30985
200402,2799.45838,200402,1302.21059,200402,1825.64139
200401,2952.82559,200401,1473.1646,200401,1898.76498
200312,2514.25729,200312,1480.52553,200312,2370.52887
200311,1734.47659,200311,1258.14117,200311,2242.39122
200310,1621.2571,200310,1336.51947,200310,2341.1464
200309,2285.64295,200309,1434.0929,200309,2541.25542
200308,2668.64325,200308,1649.54051,200308,2603.53747
200307,2558.61203,200307,1606.13618,200307,2592.2086
200306,1793.06659,200306,1427.27189,200306,2379.06402
200305,1643.12509,200305,1291.24384,200305,2367.33754
200304,1879.19304,200304,1272.8827,200304,2270.88514
200303,2431.01649,200303,1358.93764,200303,2304.77948
200302,2703.95222,200302,1341.35432,200302,2241.97951
200301,2838.03136,200301,1493.70086,200301,920.41233
200212,2578.38744,200212,1535.78876,200212,2846.33747
200211,1832.52979,200211,1359.33649,200211,1894.14059
200210,1706.03407,200210,1411.05173,200210,2063.66442
200209,2110.43352,200209,1532.52438,200209,2112.89499
200208,2813.18023,200208,1761.99407,200208,2247.75641
200207,2667.49435,200207,1775.26559,200207,2208.73515
200206,2211.40859,200206,2103.47127,200206,1262.28596
200205,1601.12503,200205,1901.81879,200205,1196.80016
200204,1728.78213,200204,1807.79111,200204,1224.03443
200203,1975.96395,200203,2141.13066,200203,1350.87217
200202,2024.0805,200202,1744.13052,200202,1193.89972
200201,2239.63342,200201,1969.98564,200201,1273.08552
200112,1981.65971,200112,2113.89487,200112,839.8174
200111,1638.01339,200111,2027.18883,200111,831.16183
200110,1583.28845,200110,2125.44342,200110,817.94156
200109,1823.7592,200109,2309.77001,200109,861.92238
200108,2487.60868,200108,2595.60637,200108,927.50414
200107,2224.80179,200107,2396.59772,200107,868.22107
200106,2061.97273,200106,2186.22508,200106,895.45984
200105,1581.56714,200105,2149.44299,200105,917.22066
200104,1795.39405,200104,1908.75753,200104,761.33597
200103,2119.29474,200103,2266.65672,200103,887.76999
200102,2214.30927,200102,1910.54677,200102,759.4911
200101,2782.42686,200101,2253.4837,200101,808.87806
